id_pop,data_inicio,data_fim,latitude,longitude,gravidade,h3
5,2020-01-06 02:59:06+00:00,2020-01-06 08:54:40+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2020-07-31 01:50:57+00:00,2020-07-31 08:33:24+00:00,-23.0062608,-43.3085822,Baixo,88a8a07191fffff
5,2020-11-20 06:48:20+00:00,2020-11-20 12:44:50+00:00,-23.0049817,-43.3041487,Baixo,88a8a07191fffff
5,2020-11-05 13:46:11+00:00,2020-11-05 15:14:29+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2020-11-18 20:57:47+00:00,2020-11-19 00:23:38+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2020-11-20 01:58:49+00:00,2020-11-20 06:23:16+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2019-08-04 05:10:25+00:00,2019-08-04 07:59:21+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2019-12-22 19:56:34+00:00,2019-12-22 22:57:57+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2019-12-23 14:22:58+00:00,2019-12-23 14:28:54+00:00,-23.0071335,-43.30854529999999,Baixo,88a8a07191fffff
5,2022-02-22 07:26:28+00:00,2022-02-22 10:00:46+00:00,-23.0110064,-43.3091914,Baixo,88a8a07191fffff
5,2019-05-15 23:21:06+00:00,2019-05-16 10:47:32+00:00,-23.0058407,-43.303856,Baixo,88a8a07191fffff
5,2019-05-15 03:20:40+00:00,2019-05-15 13:01:06+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2019-05-17 10:26:02+00:00,2019-05-17 14:04:08+00:00,-23.006762,-43.30449959999999,Baixo,88a8a07191fffff
5,2021-02-21 21:52:56+00:00,2021-02-22 03:03:48+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2021-02-06 01:18:45+00:00,2021-02-06 05:12:50+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2021-04-21 02:58:01+00:00,2021-04-21 08:36:36+00:00,-23.006684996273577,-43.308383809786974,Baixo,88a8a07191fffff
5,2021-04-21 06:12:08+00:00,2021-04-21 08:31:15+00:00,-23.0073608,-43.3077206,Baixo,88a8a07191fffff
5,2021-04-27 21:28:59+00:00,2021-04-28 05:16:41+00:00,-23.006852878929383,-43.306871043902575,Baixo,88a8a07191fffff
5,2021-04-29 05:40:30+00:00,2021-04-29 10:39:39+00:00,-23.0063038,-43.3086847,Baixo,88a8a07191fffff
5,2021-04-03 20:33:39+00:00,2021-04-03 21:32:59+00:00,-23.0062406,-43.3085662,Baixo,88a8a07191fffff
5,2018-06-18 05:10:39+00:00,2018-06-18 09:54:53+00:00,-23.0065861,-43.31076350000001,Baixo,88a8a07191fffff
5,2018-10-13 20:04:10+00:00,2018-10-13 23:05:40+00:00,-23.0062772,-43.30857209999999,Baixo,88a8a07191fffff
5,2018-10-25 04:10:57+00:00,2018-10-25 06:30:51+00:00,-23.0062772,-43.30857209999999,Baixo,88a8a07191fffff
5,2021-03-30 03:23:40+00:00,2021-03-30 04:17:12+00:00,-23.0050664,-43.30401,Baixo,88a8a07191fffff
5,2021-03-30 01:04:02+00:00,2021-03-30 04:45:51+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2021-03-30 00:59:22+00:00,2021-03-30 06:16:03+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2021-03-30 22:26:21+00:00,2021-03-31 01:36:58+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2021-03-30 06:38:53+00:00,2021-03-30 08:49:27+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2022-04-09 01:54:00+00:00,2022-04-09 04:17:27+00:00,-23.0068307,-43.3107119,Baixo,88a8a07191fffff
5,2022-04-02 08:15:42+00:00,2022-04-02 09:55:42+00:00,-23.0078572,-43.3070394,Baixo,88a8a07191fffff
5,2022-04-01 16:46:25+00:00,2022-04-01 20:58:17+00:00,-23.0071335,-43.3085453,Baixo,88a8a07191fffff
5,2022-04-01 03:04:19+00:00,2022-04-01 03:18:03+00:00,-23.0083231,-43.3094964,Baixo,88a8a07191fffff
5,2022-04-02 03:38:43+00:00,2022-04-02 13:01:56+00:00,-23.0066805,-43.3109026,Baixo,88a8a07191fffff
5,2022-04-01 04:51:47+00:00,2022-04-01 05:58:19+00:00,-23.0066958,-43.310663,Baixo,88a8a07191fffff
5,2022-04-02 03:30:39+00:00,2022-04-02 05:36:53+00:00,-23.0066958,-43.310663,Baixo,88a8a07191fffff
5,2022-04-06 01:11:59+00:00,2022-04-06 04:57:41+00:00,-23.0066958,-43.310663,Baixo,88a8a07191fffff
5,2022-04-02 03:33:10+00:00,2022-04-02 13:02:06+00:00,-23.0066958,-43.310663,Baixo,88a8a07191fffff
5,2022-04-14 03:25:23+00:00,2022-04-14 05:52:41+00:00,-23.0066958,-43.310663,Baixo,88a8a07191fffff
5,2022-04-06 03:49:38+00:00,2022-04-06 07:17:40+00:00,-23.0066958,-43.310663,Baixo,88a8a07191fffff
5,2018-08-01 22:05:07+00:00,2018-08-02 03:08:23+00:00,-23.0062768,-43.30857279999998,Medio,88a8a07191fffff
5,2020-12-06 20:07:29+00:00,2020-12-07 11:29:43+00:00,-23.0062608,-43.3085822,Baixo,88a8a07191fffff
5,2020-12-06 21:10:06+00:00,2020-12-07 05:16:49+00:00,-23.0036262,-43.3065307,Baixo,88a8a07191fffff
5,2020-12-07 23:48:43+00:00,2020-12-08 03:37:38+00:00,-23.0068307,-43.3107119,Baixo,88a8a07191fffff
5,2020-12-09 23:45:35+00:00,2020-12-10 04:18:15+00:00,-23.0062608,-43.3085822,Baixo,88a8a07191fffff
5,2020-12-25 18:54:34+00:00,2020-12-25 21:18:09+00:00,-23.006971410613,-43.30984740790404,Baixo,88a8a07191fffff
5,2020-12-25 18:35:23+00:00,2020-12-25 21:18:46+00:00,-23.00704053864394,-43.30967574652709,Baixo,88a8a07191fffff
5,2020-12-25 18:22:16+00:00,2020-12-26 09:35:34+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2020-12-25 09:56:39+00:00,2020-12-25 15:07:48+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2020-12-25 18:24:16+00:00,2020-12-25 20:33:10+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2020-12-13 11:26:18+00:00,2020-12-13 12:49:26+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
5,2019-09-03 18:56:45+00:00,2019-09-03 19:54:28+00:00,-23.0066933,-43.3106674,Baixo,88a8a07191fffff
